enrollment_id,student_id,course_id,enrollment_date,enrollment_status,semester,year,final_grade,grade_points,attendance_rate,assignment_avg,exam_score,project_score,participation_score,total_score,feedback,created_at
43,154,37,2025-11-21,registered,Fall,2025,,,75.53,90.90,55.83,75.25,85.92,72.49,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.6000000
44,232,83,2025-12-01,registered,Fall,2025,,,92.98,73.25,82.85,98.01,85.01,83.95,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6033333
45,45,6,2025-12-04,registered,Fall,2025,,,94.61,81.42,76.91,98.11,90.34,84.33,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6066667
46,89,17,2025-11-05,registered,Fall,2025,,,83.45,68.07,65.52,87.18,93.25,73.97,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.6100000
47,141,54,2025-11-20,registered,Fall,2025,,,85.44,92.13,63.22,91.79,94.26,80.06,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6100000
48,27,30,2025-11-04,registered,Fall,2025,,,91.34,83.06,61.80,96.27,99.69,79.03,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.6100000
49,110,27,2025-11-18,registered,Fall,2025,,,94.31,88.15,68.30,82.27,97.69,80.90,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6133333
50,251,79,2025-11-21,dropped,Fall,2025,,,91.07,71.49,59.24,86.93,89.52,72.67,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.6166667
51,47,12,2025-10-23,dropped,Fall,2025,,,83.90,77.13,96.10,95.17,98.59,90.25,N'Excellent performance,keep it up!',2025-12-05T23:12:44.6166667
52,294,65,2025-11-23,registered,Fall,2025,,,76.98,77.04,82.68,84.23,84.52,81.12,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6200000
53,261,76,2025-11-06,registered,Fall,2025,,,90.30,82.95,89.78,97.48,93.62,89.66,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6233333
54,174,39,2025-11-21,registered,Fall,2025,,,88.76,83.36,80.03,89.00,89.88,84.07,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6233333
55,94,19,2025-11-20,dropped,Fall,2025,,,78.10,92.49,75.87,93.93,82.22,83.59,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6266667
56,181,60,2025-10-17,registered,Fall,2025,,,97.02,90.06,87.81,77.32,95.02,88.44,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6300000
57,248,77,2025-11-14,registered,Fall,2025,,,81.81,75.50,58.32,72.85,97.70,71.08,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.6300000
58,144,50,2025-11-21,registered,Fall,2025,,,88.42,74.78,76.61,87.33,94.83,80.76,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6333333
59,86,29,2025-10-24,registered,Fall,2025,,,83.73,90.53,92.67,78.23,87.19,88.53,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6333333
60,203,60,2025-10-22,registered,Fall,2025,,,81.06,77.22,93.98,93.67,88.54,87.91,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6366667
61,175,54,2025-11-25,registered,Fall,2025,,,99.54,66.59,80.03,75.98,90.74,79.08,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.6400000
62,33,4,2025-11-23,registered,Fall,2025,,,78.71,80.18,61.59,98.30,84.59,75.76,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.6400000
63,2,11,2025-10-21,registered,Fall,2025,,,92.45,70.52,55.56,98.38,96.79,73.54,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.6433333
64,251,90,2025-11-19,registered,Fall,2025,,,83.14,87.88,83.15,70.64,92.17,83.36,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6466667
65,299,76,2025-11-04,registered,Fall,2025,,,84.24,97.22,83.44,75.01,87.28,86.08,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6466667
66,18,3,2025-10-22,registered,Fall,2025,,,92.40,79.42,67.81,73.44,90.91,76.33,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.6500000
67,16,26,2025-11-11,registered,Fall,2025,,,95.10,97.97,74.97,72.21,95.35,84.36,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6500000
68,194,32,2025-10-13,registered,Fall,2025,,,80.80,73.74,74.98,97.03,85.49,79.61,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.6533333
69,19,27,2025-10-27,registered,Fall,2025,,,93.06,92.64,64.81,73.17,83.30,77.70,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.6566667
70,178,54,2025-11-19,registered,Fall,2025,,,97.51,96.18,82.42,72.66,82.65,85.93,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6600000
71,116,11,2025-10-20,registered,Fall,2025,,,92.36,81.54,94.53,76.19,84.95,87.36,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6600000
72,236,88,2025-10-12,registered,Fall,2025,,,90.04,67.69,80.44,75.66,97.87,79.24,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.6633333
73,29,11,2025-12-05,registered,Fall,2025,,,87.77,94.02,85.39,81.03,80.18,86.61,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6633333
74,176,41,2025-11-10,registered,Fall,2025,,,78.02,72.65,72.35,75.08,93.22,75.49,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.6666667
75,144,49,2025-11-10,registered,Fall,2025,,,84.63,90.55,93.29,72.04,94.84,88.71,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6700000
76,240,67,2025-11-14,registered,Fall,2025,,,94.43,74.66,59.41,72.72,90.99,71.88,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.6733333
77,83,9,2025-11-22,registered,Fall,2025,,,77.97,84.14,59.33,80.19,95.06,74.10,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.6733333
78,2,6,2025-11-18,registered,Fall,2025,,,76.40,85.34,79.26,82.31,91.41,82.17,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6766667
79,199,35,2025-11-27,registered,Fall,2025,,,81.20,93.30,67.70,81.55,95.68,80.33,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6800000
80,86,26,2025-10-30,registered,Fall,2025,,,84.79,89.29,87.15,97.65,98.38,90.15,N'Excellent performance,keep it up!',2025-12-05T23:12:44.6800000
81,141,53,2025-11-13,dropped,Fall,2025,,,95.63,78.82,71.71,84.61,82.87,78.93,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.6833333
82,55,17,2025-10-14,withdrawn,Fall,2025,,,92.24,71.71,67.88,73.65,97.18,75.07,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.6866667
83,14,22,2025-10-25,registered,Fall,2025,,,76.19,90.57,87.71,96.01,86.94,88.44,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6900000
84,240,69,2025-11-05,registered,Fall,2025,,,80.47,96.35,96.00,89.85,98.83,93.90,N'Excellent performance,keep it up!',2025-12-05T23:12:44.6900000
85,169,36,2025-12-03,registered,Fall,2025,,,82.29,84.67,80.64,87.20,93.66,84.10,N'Good work,showing consistent effort.',2025-12-05T23:12:44.6933333
86,170,51,2025-11-10,registered,Fall,2025,,,82.58,84.27,63.57,78.95,88.73,75.47,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.6966667
87,114,21,2025-10-15,registered,Fall,2025,,,88.76,69.89,60.66,77.26,85.45,70.75,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.6966667
88,232,88,2025-11-28,registered,Fall,2025,,,94.65,67.89,69.91,96.53,82.79,77.16,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.7000000
89,252,81,2025-12-02,registered,Fall,2025,,,98.29,90.91,91.45,85.42,90.22,90.97,N'Excellent performance,keep it up!',2025-12-05T23:12:44.7033333
90,6,14,2025-11-30,registered,Fall,2025,,,84.63,83.87,71.91,98.74,93.82,82.39,N'Good work,showing consistent effort.',2025-12-05T23:12:44.7066667
91,239,78,2025-10-16,registered,Fall,2025,,,99.90,70.11,69.69,74.52,82.21,74.79,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.7066667
92,78,9,2025-11-26,registered,Fall,2025,,,85.93,97.46,91.03,78.35,94.11,90.53,N'Excellent performance,keep it up!',2025-12-05T23:12:44.7100000
93,94,18,2025-10-31,registered,Fall,2025,,,88.31,65.46,60.81,91.85,97.55,73.05,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.7100000
94,67,4,2025-10-12,registered,Fall,2025,,,87.71,90.30,74.34,74.58,82.91,80.56,N'Good work,showing consistent effort.',2025-12-05T23:12:44.7166667
95,257,90,2025-11-30,registered,Fall,2025,,,82.72,96.38,77.30,83.83,83.94,84.26,N'Good work,showing consistent effort.',2025-12-05T23:12:44.7166667
96,27,24,2025-12-02,registered,Fall,2025,,,85.08,68.16,81.98,91.02,94.21,81.41,N'Good work,showing consistent effort.',2025-12-05T23:12:44.7200000
97,213,83,2025-12-03,registered,Fall,2025,,,83.72,82.83,76.17,83.98,95.48,81.69,N'Good work,showing consistent effort.',2025-12-05T23:12:44.7233333
98,138,46,2025-11-15,registered,Fall,2025,,,83.62,65.01,57.60,70.22,90.50,67.24,Needs to put more effort into assignments.,2025-12-05T23:12:44.7266667
99,282,77,2025-10-19,registered,Fall,2025,,,82.48,87.65,64.60,85.34,92.93,78.09,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.7300000
100,113,29,2025-11-09,registered,Fall,2025,,,91.86,93.30,72.05,87.92,83.79,82.90,N'Good work,showing consistent effort.',2025-12-05T23:12:44.7300000
101,37,26,2025-10-18,registered,Fall,2025,,,76.50,90.80,79.98,80.61,98.51,84.28,N'Good work,showing consistent effort.',2025-12-05T23:12:44.7333333
102,3,14,2025-11-02,registered,Fall,2025,,,85.86,68.64,92.82,84.55,92.20,84.78,N'Good work,showing consistent effort.',2025-12-05T23:12:44.7366667
103,291,71,2025-12-04,registered,Fall,2025,,,91.67,96.36,63.28,90.65,92.68,81.43,N'Good work,showing consistent effort.',2025-12-05T23:12:44.7400000
104,77,23,2025-11-18,registered,Fall,2025,,,99.29,67.55,62.48,81.52,86.63,72.70,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.7400000
105,228,85,2025-12-02,registered,Fall,2025,,,79.41,82.24,81.35,86.78,98.32,83.89,N'Good work,showing consistent effort.',2025-12-05T23:12:44.7433333
106,252,84,2025-10-20,registered,Fall,2025,,,95.40,94.67,59.79,83.98,82.46,77.97,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.7466667
107,246,74,2025-10-24,registered,Fall,2025,,,77.04,88.95,64.55,97.91,92.02,79.65,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.7500000
108,262,87,2025-10-28,registered,Fall,2025,,,78.57,69.79,62.90,84.29,82.64,71.37,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.7500000
109,69,29,2025-10-07,registered,Fall,2025,,,91.55,91.52,73.16,74.01,88.37,81.24,N'Good work,showing consistent effort.',2025-12-05T23:12:44.7533333
110,243,86,2025-12-05,registered,Fall,2025,,,86.23,74.64,69.59,76.25,96.25,76.18,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.7566667
111,163,48,2025-11-27,registered,Fall,2025,,,92.76,69.75,93.28,90.47,92.23,86.82,N'Good work,showing consistent effort.',2025-12-05T23:12:44.7600000
112,30,13,2025-11-02,registered,Fall,2025,,,88.98,66.23,95.08,75.29,99.32,84.71,N'Good work,showing consistent effort.',2025-12-05T23:12:44.7600000
113,277,67,2025-11-23,registered,Fall,2025,,,92.60,93.75,59.22,98.31,83.88,79.52,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.7633333
114,152,32,2025-11-26,registered,Fall,2025,,,86.96,92.84,98.50,73.93,89.37,91.33,N'Excellent performance,keep it up!',2025-12-05T23:12:44.7666667
115,67,29,2025-10-08,registered,Fall,2025,,,85.91,79.10,76.29,76.56,99.52,80.32,N'Good work,showing consistent effort.',2025-12-05T23:12:44.7700000
116,59,16,2025-10-11,registered,Fall,2025,,,88.19,93.35,76.09,71.60,81.70,81.50,N'Good work,showing consistent effort.',2025-12-05T23:12:44.7700000
117,33,3,2025-11-30,registered,Fall,2025,,,96.17,94.51,87.60,91.11,90.51,91.00,N'Excellent performance,keep it up!',2025-12-05T23:12:44.7733333
118,266,77,2025-11-19,registered,Fall,2025,,,81.03,78.42,91.53,88.13,88.15,86.35,N'Good work,showing consistent effort.',2025-12-05T23:12:44.7766667
119,31,14,2025-10-25,registered,Fall,2025,,,80.33,90.34,64.24,95.84,81.35,78.83,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.7800000
120,37,22,2025-10-17,registered,Fall,2025,,,88.95,94.88,70.85,92.88,98.96,84.78,N'Good work,showing consistent effort.',2025-12-05T23:12:44.7800000
121,66,19,2025-10-19,registered,Fall,2025,,,84.29,97.26,77.27,79.38,97.06,85.27,N'Good work,showing consistent effort.',2025-12-05T23:12:44.7833333
122,119,1,2025-10-25,registered,Fall,2025,,,81.80,77.64,69.45,95.80,94.36,79.18,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.7866667
123,15,24,2025-12-05,registered,Fall,2025,,,78.62,65.49,65.82,96.92,81.09,73.21,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.7900000
124,187,48,2025-10-27,registered,Fall,2025,,,98.78,74.56,62.68,90.55,95.79,76.75,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.7933333
125,182,44,2025-11-14,registered,Fall,2025,,,81.18,95.44,80.30,94.89,98.81,88.21,N'Good work,showing consistent effort.',2025-12-05T23:12:44.7966667
126,159,52,2025-10-11,registered,Fall,2025,,,85.16,74.87,68.66,72.39,89.90,74.55,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.7966667
127,3,18,2025-12-05,registered,Fall,2025,,,93.99,83.12,62.88,81.56,88.68,76.43,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.8000000
128,269,71,2025-10-07,registered,Fall,2025,,,94.93,89.27,58.30,73.35,84.75,74.61,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.8033333
129,4,10,2025-11-30,registered,Fall,2025,,,97.94,78.15,73.39,98.02,85.24,81.91,N'Good work,showing consistent effort.',2025-12-05T23:12:44.8066667
130,52,21,2025-12-01,registered,Fall,2025,,,82.68,87.76,68.17,86.12,80.76,78.47,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.8100000
131,252,72,2025-11-15,registered,Fall,2025,,,86.80,87.13,89.90,89.67,82.48,88.12,N'Good work,showing consistent effort.',2025-12-05T23:12:44.8100000
132,22,17,2025-10-10,registered,Fall,2025,,,87.63,68.31,56.89,75.86,81.57,68.13,Needs to put more effort into assignments.,2025-12-05T23:12:44.8133333
133,229,84,2025-10-11,registered,Fall,2025,,,84.29,80.23,60.73,83.46,85.65,73.86,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.8166667
134,299,86,2025-10-14,registered,Fall,2025,,,94.57,83.61,74.52,74.01,94.41,80.71,N'Good work,showing consistent effort.',2025-12-05T23:12:44.8166667
135,277,76,2025-10-28,registered,Fall,2025,,,89.77,86.53,76.71,97.32,95.52,85.44,N'Good work,showing consistent effort.',2025-12-05T23:12:44.8200000
136,200,43,2025-10-17,registered,Fall,2025,,,94.38,75.15,87.63,76.00,85.42,83.22,N'Good work,showing consistent effort.',2025-12-05T23:12:44.8233333
137,26,19,2025-11-15,registered,Fall,2025,,,84.01,86.27,93.92,76.99,90.26,88.11,N'Good work,showing consistent effort.',2025-12-05T23:12:44.8266667
138,270,63,2025-11-27,dropped,Fall,2025,,,92.38,68.51,78.46,86.42,99.10,80.62,N'Good work,showing consistent effort.',2025-12-05T23:12:44.8300000
139,233,88,2025-11-28,registered,Fall,2025,,,77.88,73.33,83.14,96.10,84.89,82.28,N'Good work,showing consistent effort.',2025-12-05T23:12:44.8300000
140,247,76,2025-10-25,registered,Fall,2025,,,90.80,97.85,64.19,97.98,88.11,82.73,N'Good work,showing consistent effort.',2025-12-05T23:12:44.8333333
141,24,23,2025-10-10,dropped,Fall,2025,,,77.03,84.90,69.09,71.99,82.98,75.66,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.8366667
142,112,2,2025-10-07,registered,Fall,2025,,,81.71,96.08,69.94,85.06,87.19,81.65,N'Good work,showing consistent effort.',2025-12-05T23:12:44.8400000
143,132,54,2025-11-21,registered,Fall,2025,,,94.47,65.46,79.29,77.79,99.36,79.13,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.8433333
144,248,75,2025-12-04,registered,Fall,2025,,,86.47,97.11,89.68,85.82,90.90,90.76,N'Excellent performance,keep it up!',2025-12-05T23:12:44.8433333
145,43,18,2025-11-03,registered,Fall,2025,,,87.16,96.84,88.05,84.45,98.04,90.62,N'Excellent performance,keep it up!',2025-12-05T23:12:44.8466667
146,283,75,2025-10-12,registered,Fall,2025,,,82.23,94.76,74.18,82.24,82.48,82.17,N'Good work,showing consistent effort.',2025-12-05T23:12:44.8500000
147,136,42,2025-12-03,registered,Fall,2025,,,80.14,69.04,61.45,99.49,85.99,73.38,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.8533333
148,285,66,2025-10-30,registered,Fall,2025,,,85.53,91.66,85.32,85.70,94.96,87.95,N'Good work,showing consistent effort.',2025-12-05T23:12:44.8533333
149,59,25,2025-10-17,registered,Fall,2025,,,96.89,70.02,79.58,86.83,95.58,81.61,N'Good work,showing consistent effort.',2025-12-05T23:12:44.8566667
150,261,85,2025-11-02,registered,Fall,2025,,,97.85,78.21,61.43,97.73,81.09,76.68,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.8600000
151,236,79,2025-11-08,registered,Fall,2025,,,80.98,95.93,99.85,89.11,99.43,95.33,N'Excellent performance,keep it up!',2025-12-05T23:12:44.8633333
152,115,2,2025-11-02,registered,Fall,2025,,,90.99,66.29,68.33,93.85,81.00,75.18,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.8666667
153,226,77,2025-11-12,registered,Fall,2025,,,87.65,93.70,61.36,83.13,97.10,78.91,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.8700000
154,125,46,2025-11-06,registered,Fall,2025,,,79.17,89.59,60.08,71.99,88.22,73.97,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.8700000
155,219,82,2025-11-02,registered,Fall,2025,,,93.26,81.75,71.60,88.88,89.05,80.64,N'Good work,showing consistent effort.',2025-12-05T23:12:44.8733333
156,3,7,2025-11-11,registered,Fall,2025,,,98.28,80.86,81.80,75.44,84.25,82.50,N'Good work,showing consistent effort.',2025-12-05T23:12:44.8766667
157,267,67,2025-10-10,registered,Fall,2025,,,93.38,85.17,79.02,81.88,92.55,83.78,N'Good work,showing consistent effort.',2025-12-05T23:12:44.8800000
158,68,6,2025-10-07,registered,Fall,2025,,,81.45,95.87,78.39,91.10,97.07,86.84,N'Good work,showing consistent effort.',2025-12-05T23:12:44.8833333
159,22,29,2025-10-11,registered,Fall,2025,,,84.93,84.69,68.86,84.76,98.19,79.74,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.8866667
160,36,29,2025-10-22,registered,Fall,2025,,,89.95,65.84,75.49,95.52,83.56,78.34,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.8900000
161,1,20,2025-11-05,registered,Fall,2025,,,77.90,95.42,67.82,73.55,86.15,78.42,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.8900000
162,240,74,2025-11-10,withdrawn,Fall,2025,,,81.70,66.06,90.09,82.60,88.81,81.99,N'Good work,showing consistent effort.',2025-12-05T23:12:44.8933333
163,230,62,2025-11-09,registered,Fall,2025,,,91.24,83.31,95.54,85.47,81.71,89.16,N'Good work,showing consistent effort.',2025-12-05T23:12:44.8966667
164,154,58,2025-11-07,registered,Fall,2025,,,93.64,80.88,86.14,90.63,97.71,87.41,N'Good work,showing consistent effort.',2025-12-05T23:12:44.9000000
165,98,19,2025-11-14,registered,Fall,2025,,,93.22,68.16,83.91,75.71,91.68,80.45,N'Good work,showing consistent effort.',2025-12-05T23:12:44.9033333
166,54,5,2025-11-04,registered,Fall,2025,,,92.73,69.07,66.00,77.28,97.68,74.30,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.9066667
167,210,53,2025-10-21,registered,Fall,2025,,,82.38,87.76,92.10,73.64,93.73,87.44,N'Good work,showing consistent effort.',2025-12-05T23:12:44.9100000
168,19,20,2025-10-16,registered,Fall,2025,,,87.47,85.18,67.56,76.87,82.85,76.88,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.9100000
169,156,50,2025-10-20,registered,Fall,2025,,,94.90,73.80,86.79,71.09,82.02,81.52,N'Good work,showing consistent effort.',2025-12-05T23:12:44.9133333
