record_id,student_id,course_id,semester,year,grade,grade_points,status,credits_earned,created_at
38,4,13,Spring,2022,C+,2.70,completed,3,2024-10-01T23:12:38.3533333
39,13,22,Fall,2023,C+,2.70,completed,5,2024-10-18T23:12:38.3533333
40,261,73,Fall,2024,C,2.00,completed,3,2024-10-05T23:12:38.3566667
41,107,4,Spring,2021,C,2.00,completed,4,2025-09-26T23:12:38.3566667
42,258,65,Fall,2023,A,4.00,completed,4,2024-11-27T23:12:38.3566667
43,257,86,Spring,2021,C+,2.70,completed,5,2025-06-27T23:12:38.3600000
44,66,12,Fall,2021,C,2.00,completed,4,2025-02-19T23:12:38.3600000
45,139,59,Fall,2021,F,0.00,completed,0,2025-10-23T23:12:38.3600000
46,191,55,Spring,2023,D,1.00,completed,0,2025-09-29T23:12:38.3600000
47,76,26,Fall,2023,C+,2.70,completed,5,2025-04-20T23:12:38.3600000
48,163,51,Spring,2024,B,3.00,completed,5,2025-05-27T23:12:38.3633333
49,175,34,Spring,2023,B,3.00,completed,4,2024-09-30T23:12:38.3633333
50,4,27,Fall,2022,C,2.00,completed,3,2025-02-24T23:12:38.3633333
51,203,44,Spring,2021,C,2.00,completed,3,2025-03-01T23:12:38.3633333
52,143,53,Fall,2021,F,0.00,completed,0,2025-05-31T23:12:38.3633333
53,60,8,Spring,2024,B+,3.50,completed,4,2025-08-14T23:12:38.3933333
54,191,46,Spring,2022,C+,2.70,completed,4,2025-10-02T23:12:38.3933333
55,283,81,Spring,2022,B,3.00,completed,5,2025-08-27T23:12:38.3933333
56,147,59,Fall,2024,F,0.00,completed,0,2025-08-07T23:12:38.3933333
57,206,48,Fall,2024,C,2.00,completed,4,2024-12-13T23:12:38.3933333
58,93,26,Fall,2021,C+,2.70,completed,5,2024-08-15T23:12:38.3933333
59,48,28,Spring,2021,B+,3.50,completed,5,2025-03-29T23:12:38.3966667
60,245,81,Spring,2021,C+,2.70,completed,5,2025-07-18T23:12:38.3966667
61,25,5,Fall,2023,C,2.00,completed,4,2024-10-16T23:12:38.3966667
62,171,41,Fall,2021,B,3.00,completed,4,2024-10-08T23:12:38.3966667
63,79,11,Fall,2023,C+,2.70,completed,4,2025-03-08T23:12:38.3966667
64,5,17,Fall,2024,C+,2.70,completed,3,2025-06-02T23:12:38.3966667
65,258,86,Fall,2024,D,1.00,completed,0,2025-07-31T23:12:38.4000000
66,46,14,Spring,2024,C+,2.70,completed,3,2025-06-21T23:12:38.4000000
67,186,34,Fall,2023,C,2.00,completed,4,2024-10-07T23:12:38.4000000
68,255,79,Fall,2022,B,3.00,completed,4,2025-03-05T23:12:38.4000000
69,23,2,Spring,2021,B,3.00,completed,4,2025-02-21T23:12:38.4000000
70,156,39,Spring,2022,B,3.00,completed,4,2024-09-20T23:12:38.4000000
71,236,63,Spring,2023,F,0.00,completed,0,2025-06-02T23:12:38.4000000
72,50,23,Fall,2024,C,2.00,completed,3,2024-09-25T23:12:38.4000000
73,256,62,Fall,2024,C,2.00,completed,4,2024-08-11T23:12:38.4000000
74,279,80,Spring,2021,F,0.00,completed,0,2025-05-20T23:12:38.4033333
75,286,74,Fall,2022,C,2.00,completed,4,2024-10-25T23:12:38.4033333
76,131,49,Fall,2021,B,3.00,completed,4,2025-06-06T23:12:38.4033333
77,246,81,Spring,2024,C+,2.70,completed,5,2025-05-18T23:12:38.4033333
78,70,3,Spring,2022,C,2.00,completed,4,2025-07-25T23:12:38.4033333
79,175,39,Fall,2023,B,3.00,completed,4,2024-11-02T23:12:38.4066667
80,234,68,Fall,2024,B,3.00,completed,4,2025-11-13T23:12:38.4066667
81,155,38,Spring,2023,C,2.00,completed,4,2025-04-29T23:12:38.4066667
82,140,41,Fall,2024,C+,2.70,completed,4,2025-01-12T23:12:38.4133333
83,291,76,Fall,2023,C,2.00,completed,4,2025-01-08T23:12:38.4133333
84,86,7,Fall,2023,B,3.00,completed,4,2025-05-29T23:12:38.4133333
85,263,67,Fall,2024,B,3.00,completed,4,2025-03-19T23:12:38.4166667
86,264,65,Fall,2024,B+,3.50,completed,4,2025-01-16T23:12:38.4166667
87,297,90,Spring,2021,C+,2.70,completed,5,2025-03-20T23:12:38.4166667
88,167,45,Spring,2021,B,3.00,completed,4,2024-12-10T23:12:38.4166667
89,163,58,Fall,2021,B+,3.50,completed,5,2024-08-28T23:12:38.4166667
90,10,11,Spring,2023,B,3.00,completed,4,2025-08-13T23:12:38.4200000
91,190,38,Fall,2024,C,2.00,completed,4,2025-10-07T23:12:38.4200000
92,15,12,Fall,2023,F,0.00,completed,0,2024-11-13T23:12:38.4200000
93,43,19,Fall,2022,B+,3.50,completed,4,2025-01-30T23:12:38.4200000
94,5,13,Fall,2023,B+,3.50,completed,3,2024-08-29T23:12:38.4200000
95,257,83,Spring,2022,A,4.00,completed,5,2025-08-16T23:12:38.4200000
96,35,15,Spring,2021,C+,2.70,completed,4,2024-12-04T23:12:38.4200000
97,150,33,Spring,2022,C,2.00,completed,4,2025-03-22T23:12:38.4200000
98,279,71,Spring,2024,F,0.00,completed,0,2025-12-01T23:12:38.4233333
99,129,39,Fall,2024,D,1.00,completed,0,2024-10-18T23:12:38.4233333
100,45,25,Fall,2021,B,3.00,completed,5,2025-06-23T23:12:38.4233333
101,158,53,Spring,2021,C,2.00,completed,5,2025-08-03T23:12:38.4233333
102,63,28,Fall,2023,B,3.00,completed,5,2025-11-08T23:12:38.4233333
103,116,8,Spring,2024,A,4.00,completed,4,2024-11-22T23:12:38.4266667
104,74,7,Fall,2022,C,2.00,completed,4,2025-03-21T23:12:38.4266667
105,236,82,Spring,2024,B,3.00,completed,3,2025-03-14T23:12:38.4266667
106,268,84,Spring,2023,C+,2.70,completed,3,2025-02-06T23:12:38.4266667
107,239,73,Fall,2022,A,4.00,completed,3,2025-01-28T23:12:38.4266667
108,218,89,Fall,2023,C+,2.70,completed,3,2024-08-21T23:12:38.4266667
109,8,1,Fall,2021,D,1.00,completed,0,2024-11-04T23:12:38.4300000
110,189,50,Fall,2024,C,2.00,completed,4,2024-11-28T23:12:38.4300000
111,221,87,Fall,2023,C+,2.70,completed,5,2025-01-04T23:12:38.4333333
112,41,18,Fall,2023,B,3.00,completed,4,2024-10-14T23:12:38.4333333
113,81,11,Spring,2022,C,2.00,completed,4,2025-02-22T23:12:38.4333333
114,14,3,Fall,2022,B,3.00,completed,4,2025-05-19T23:12:38.4366667
115,56,1,Fall,2021,C+,2.70,completed,4,2024-11-13T23:12:38.4366667
116,44,6,Spring,2023,C,2.00,completed,4,2024-09-20T23:12:38.4366667
117,234,67,Fall,2024,B,3.00,completed,4,2025-03-20T23:12:38.4366667
118,201,51,Fall,2024,C+,2.70,completed,5,2025-09-23T23:12:38.4366667
119,271,90,Spring,2024,F,0.00,completed,0,2025-12-04T23:12:38.4400000
120,29,6,Spring,2023,A,4.00,completed,4,2025-11-24T23:12:38.4400000
121,283,63,Fall,2024,C+,2.70,completed,4,2025-11-19T23:12:38.4400000
122,123,53,Spring,2024,B,3.00,completed,5,2025-08-22T23:12:38.4400000
123,272,67,Spring,2021,B+,3.50,completed,4,2025-09-30T23:12:38.4400000
124,270,89,Fall,2023,C,2.00,completed,3,2025-10-30T23:12:38.4400000
125,188,58,Spring,2022,C+,2.70,completed,5,2024-08-23T23:12:38.4400000
126,191,34,Fall,2024,C,2.00,completed,4,2024-08-19T23:12:38.4433333
127,110,10,Fall,2021,C+,2.70,completed,4,2025-10-13T23:12:38.4433333
128,98,4,Fall,2023,C+,2.70,completed,4,2024-08-28T23:12:38.4433333
129,89,18,Spring,2024,C,2.00,completed,4,2024-11-13T23:12:38.4433333
130,46,5,Fall,2022,C+,2.70,completed,4,2025-04-01T23:12:38.4433333
131,199,59,Fall,2022,C+,2.70,completed,3,2025-11-29T23:12:38.4433333
132,289,84,Fall,2023,C,2.00,completed,3,2024-10-26T23:12:38.4466667
133,219,84,Spring,2022,C+,2.70,completed,3,2025-08-29T23:12:38.4466667
134,36,16,Fall,2023,C+,2.70,completed,4,2024-10-20T23:12:38.4466667
135,190,52,Fall,2024,D,1.00,completed,0,2024-11-02T23:12:38.4466667
136,196,38,Fall,2023,C,2.00,completed,4,2024-08-10T23:12:38.4466667
137,24,18,Spring,2024,A,4.00,completed,4,2025-11-19T23:12:38.4500000
138,181,33,Spring,2021,C+,2.70,completed,4,2025-02-16T23:12:38.4500000
139,67,13,Fall,2022,C,2.00,completed,3,2024-12-24T23:12:38.4666667
140,63,4,Spring,2022,B,3.00,completed,4,2025-10-21T23:12:38.4666667
141,15,19,Fall,2024,C+,2.70,completed,4,2024-11-25T23:12:38.4666667
142,106,3,Spring,2024,B,3.00,completed,4,2025-08-06T23:12:38.4666667
143,168,35,Spring,2021,C+,2.70,completed,4,2025-03-31T23:12:38.4666667
144,82,7,Spring,2021,B,3.00,completed,4,2024-11-10T23:12:38.4700000
145,72,13,Spring,2022,B,3.00,completed,3,2025-08-04T23:12:38.4700000
146,243,79,Spring,2022,B+,3.50,completed,4,2025-07-24T23:12:38.4700000
147,78,29,Fall,2022,A,4.00,completed,5,2025-02-10T23:12:38.4700000
148,292,82,Fall,2021,C+,2.70,completed,3,2025-06-28T23:12:38.4700000
149,191,44,Spring,2021,D,1.00,completed,0,2024-10-03T23:12:38.4700000
150,40,19,Spring,2023,B+,3.50,completed,4,2025-09-15T23:12:38.4700000
151,101,2,Spring,2022,D,1.00,completed,0,2025-11-22T23:12:38.4733333
152,205,43,Fall,2022,B,3.00,completed,3,2024-11-26T23:12:38.4733333
153,224,71,Spring,2021,C+,2.70,completed,4,2025-05-30T23:12:38.4733333
154,296,78,Spring,2022,C,2.00,completed,3,2025-11-08T23:12:38.4733333
155,73,23,Fall,2023,C,2.00,completed,3,2024-12-27T23:12:38.4733333
156,230,76,Spring,2021,C+,2.70,completed,4,2025-01-02T23:12:38.4766667
157,8,4,Spring,2022,C,2.00,completed,4,2024-12-10T23:12:38.4766667
158,58,9,Spring,2023,B,3.00,completed,4,2025-11-22T23:12:38.4766667
159,142,57,Spring,2021,C+,2.70,completed,5,2024-11-12T23:12:38.4766667
160,242,73,Spring,2024,B,3.00,completed,3,2024-07-26T23:12:38.4766667
161,135,50,Fall,2023,C,2.00,completed,4,2024-11-05T23:12:38.4800000
162,295,76,Fall,2021,C+,2.70,completed,4,2024-09-08T23:12:38.4800000
163,187,46,Fall,2023,C+,2.70,completed,4,2025-04-09T23:12:38.4800000
164,39,6,Spring,2022,C+,2.70,completed,4,2025-10-10T23:12:38.4800000
165,198,33,Fall,2024,C+,2.70,completed,4,2024-12-30T23:12:38.4800000
166,44,10,Spring,2024,B,3.00,completed,4,2025-10-08T23:12:38.4800000
167,271,63,Fall,2023,B,3.00,completed,4,2024-11-26T23:12:38.4833333
168,80,19,Fall,2024,A,4.00,completed,4,2025-11-21T23:12:38.4866667
169,114,9,Spring,2024,C,2.00,completed,4,2024-12-03T23:12:38.4866667
170,300,87,Spring,2021,B,3.00,completed,5,2024-11-05T23:12:38.4866667
171,34,6,Fall,2022,C,2.00,completed,4,2024-11-16T23:12:38.4866667
172,62,19,Spring,2023,C+,2.70,completed,4,2024-12-12T23:12:38.4866667
173,80,15,Fall,2021,C+,2.70,completed,4,2024-10-29T23:12:38.4866667
174,152,51,Spring,2021,B,3.00,completed,5,2025-06-26T23:12:38.4900000
175,61,28,Spring,2021,C+,2.70,completed,5,2024-08-24T23:12:38.4900000
176,106,7,Spring,2022,C+,2.70,completed,4,2025-10-11T23:12:38.4900000
177,288,71,Fall,2024,C+,2.70,completed,4,2025-04-20T23:12:38.4900000
178,16,24,Spring,2024,C+,2.70,completed,3,2024-11-02T23:12:38.4900000
179,190,49,Spring,2024,C,2.00,completed,4,2024-12-26T23:12:38.4900000
180,221,84,Spring,2022,C,2.00,completed,3,2025-02-12T23:12:38.4933333
181,266,70,Fall,2023,A,4.00,completed,4,2025-08-05T23:12:38.4933333
182,138,35,Fall,2023,C+,2.70,completed,4,2024-07-31T23:12:38.4933333
183,2,10,Spring,2024,B,3.00,completed,4,2025-02-26T23:12:38.4933333
184,94,7,Fall,2021,A,4.00,completed,4,2025-11-05T23:12:38.4933333
185,127,32,Spring,2022,A,4.00,completed,4,2025-09-04T23:12:38.4966667
186,120,26,Fall,2023,B,3.00,completed,5,2025-12-03T23:12:38.4966667
187,4,6,Spring,2022,B+,3.50,completed,4,2025-08-08T23:12:38.4966667
188,31,12,Fall,2023,C+,2.70,completed,4,2025-08-01T23:12:38.4966667
189,250,69,Fall,2024,D,1.00,completed,0,2025-10-26T23:12:38.4966667
190,167,33,Spring,2024,C,2.00,completed,4,2024-11-14T23:12:38.5000000
191,177,59,Fall,2024,B,3.00,completed,3,2024-10-25T23:12:38.5000000
192,148,42,Spring,2023,C+,2.70,completed,4,2024-10-02T23:12:38.5000000
193,98,12,Fall,2021,D,1.00,completed,0,2024-09-07T23:12:38.5000000
194,246,84,Fall,2023,D,1.00,completed,0,2025-06-21T23:12:38.5000000
195,228,65,Fall,2024,C+,2.70,completed,4,2024-10-02T23:12:38.5033333
196,129,42,Spring,2024,B,3.00,completed,4,2025-09-08T23:12:38.5066667
197,51,30,Fall,2021,D,1.00,completed,0,2024-08-02T23:12:38.5066667
198,260,75,Spring,2023,A,4.00,completed,4,2025-03-24T23:12:38.5066667
199,86,30,Spring,2023,C+,2.70,completed,5,2024-11-14T23:12:38.5066667
200,244,88,Fall,2022,C+,2.70,completed,5,2024-12-04T23:12:38.5100000
201,142,33,Spring,2024,B+,3.50,completed,4,2025-02-19T23:12:38.5100000
202,200,53,Spring,2023,B+,3.50,completed,5,2025-02-26T23:12:38.5100000
203,229,72,Spring,2024,D,1.00,completed,0,2025-09-01T23:12:38.5100000
204,172,51,Fall,2023,C,2.00,completed,5,2025-09-19T23:12:38.5100000
205,248,73,Spring,2024,B,3.00,completed,3,2025-07-05T23:12:38.5100000
206,113,18,Spring,2022,D,1.00,completed,0,2025-09-13T23:12:38.5100000
207,111,22,Spring,2022,A,4.00,completed,5,2024-08-30T23:12:38.5133333
208,2,16,Fall,2022,A,4.00,completed,4,2025-06-13T23:12:38.5133333
209,35,9,Fall,2023,C+,2.70,completed,4,2025-05-18T23:12:38.5133333
210,142,53,Fall,2021,D,1.00,completed,0,2025-06-15T23:12:38.5133333
211,283,74,Spring,2023,C,2.00,completed,4,2025-09-29T23:12:38.5133333
212,23,13,Fall,2024,D,1.00,completed,0,2025-06-11T23:12:38.5133333
213,139,50,Spring,2021,C+,2.70,completed,4,2025-05-29T23:12:38.5166667
214,142,32,Spring,2024,C+,2.70,completed,4,2024-09-30T23:12:38.5166667
215,70,14,Fall,2024,C+,2.70,completed,3,2025-09-01T23:12:38.5166667
216,92,8,Spring,2024,C+,2.70,completed,4,2025-10-29T23:12:38.5166667
217,47,16,Fall,2023,C,2.00,completed,4,2025-09-20T23:12:38.5166667
218,212,75,Spring,2022,A,4.00,completed,4,2024-10-10T23:12:38.5200000
219,90,2,Spring,2022,C+,2.70,completed,4,2025-01-18T23:12:38.5200000
220,190,36,Fall,2023,D,1.00,completed,0,2024-11-24T23:12:38.5200000
221,76,20,Spring,2023,B,3.00,completed,3,2025-03-29T23:12:38.5200000
222,294,69,Spring,2022,B,3.00,completed,4,2024-12-10T23:12:38.5200000
223,200,37,Spring,2021,A,4.00,completed,4,2025-11-10T23:12:38.5233333
224,151,54,Spring,2023,B,3.00,completed,3,2025-08-25T23:12:38.5233333
225,2,13,Fall,2022,D,1.00,completed,0,2025-09-06T23:12:38.5266667
226,152,36,Spring,2024,A,4.00,completed,4,2025-11-12T23:12:38.5266667
227,188,54,Fall,2023,C+,2.70,completed,3,2025-09-06T23:12:38.5266667
228,172,46,Fall,2024,C+,2.70,completed,4,2025-11-06T23:12:38.5266667
229,189,55,Fall,2023,A,4.00,completed,3,2025-01-12T23:12:38.5266667
230,169,40,Spring,2022,C,2.00,completed,4,2024-09-03T23:12:38.5300000
231,222,85,Fall,2024,B+,3.50,completed,3,2025-03-18T23:12:38.5300000
232,68,2,Spring,2021,A,4.00,completed,4,2025-07-30T23:12:38.5300000
233,180,56,Spring,2023,B,3.00,completed,5,2024-11-25T23:12:38.5300000
234,138,37,Fall,2024,C+,2.70,completed,4,2024-08-04T23:12:38.5300000
235,249,73,Fall,2022,C+,2.70,completed,3,2025-01-22T23:12:38.5300000
236,246,85,Spring,2021,C,2.00,completed,3,2025-03-15T23:12:38.5333333
237,28,2,Fall,2024,C,2.00,completed,4,2025-11-06T23:12:38.5333333
238,208,33,Spring,2023,B,3.00,completed,4,2025-04-01T23:12:38.5333333
239,168,36,Spring,2022,C+,2.70,completed,4,2024-12-17T23:12:38.5333333
240,300,70,Spring,2022,C+,2.70,completed,4,2025-02-12T23:12:38.5333333
241,20,16,Spring,2021,D,1.00,completed,0,2024-09-07T23:12:38.5333333
242,111,24,Spring,2023,A,4.00,completed,3,2024-08-01T23:12:38.5366667
243,40,22,Fall,2021,C+,2.70,completed,5,2025-02-10T23:12:38.5366667
244,276,73,Fall,2021,A,4.00,completed,3,2024-10-03T23:12:38.5366667
245,40,24,Fall,2021,B+,3.50,completed,3,2024-10-28T23:12:38.5366667
246,105,23,Spring,2024,A,4.00,completed,3,2025-07-06T23:12:38.5366667
247,299,70,Fall,2023,D,1.00,completed,0,2024-08-02T23:12:38.5400000
248,61,22,Spring,2021,D,1.00,completed,0,2025-10-25T23:12:38.5400000
249,127,34,Fall,2022,B,3.00,completed,4,2024-08-19T23:12:38.5400000
250,190,58,Spring,2023,B,3.00,completed,5,2025-05-05T23:12:38.5400000
251,178,40,Spring,2024,A,4.00,completed,4,2024-11-13T23:12:38.5400000
252,154,35,Spring,2023,C,2.00,completed,4,2025-02-10T23:12:38.5400000
253,201,39,Spring,2024,D,1.00,completed,0,2024-08-26T23:12:38.5400000
254,255,63,Fall,2024,C+,2.70,completed,4,2024-11-06T23:12:38.5433333
255,251,80,Fall,2023,C+,2.70,completed,4,2025-06-06T23:12:38.5433333
256,175,48,Fall,2021,A,4.00,completed,4,2025-04-01T23:12:38.5433333
257,170,41,Spring,2021,A,4.00,completed,4,2024-12-28T23:12:38.5433333
258,35,17,Fall,2022,F,0.00,completed,0,2025-07-09T23:12:38.5433333
259,83,12,Fall,2024,D,1.00,completed,0,2025-11-22T23:12:38.5433333
260,119,7,Fall,2023,C+,2.70,completed,4,2025-09-06T23:12:38.5466667
261,233,64,Spring,2024,D,1.00,completed,0,2025-06-09T23:12:38.5466667
262,96,14,Fall,2023,C+,2.70,completed,3,2025-06-20T23:12:38.5466667
263,33,22,Spring,2023,C+,2.70,completed,5,2025-09-15T23:12:38.5466667
264,278,63,Fall,2023,C+,2.70,completed,4,2025-08-23T23:12:38.5466667
265,92,30,Fall,2021,C,2.00,completed,5,2025-10-04T23:12:38.5466667
266,206,40,Spring,2021,F,0.00,completed,0,2025-04-13T23:12:38.5466667
267,293,87,Spring,2024,C,2.00,completed,5,2024-12-02T23:12:38.5500000
268,237,63,Spring,2023,C+,2.70,completed,4,2025-03-27T23:12:38.5500000
269,292,72,Fall,2022,C,2.00,completed,4,2024-08-26T23:12:38.5500000
270,200,36,Spring,2023,F,0.00,completed,0,2025-09-14T23:12:38.5500000
271,55,28,Fall,2023,C+,2.70,completed,5,2024-11-14T23:12:38.5500000
272,241,74,Fall,2024,C,2.00,completed,4,2025-02-07T23:12:38.5500000
273,193,48,Spring,2024,B,3.00,completed,4,2024-10-05T23:12:38.5500000
274,237,78,Fall,2022,C,2.00,completed,3,2024-12-21T23:12:38.5500000
275,68,14,Spring,2022,B+,3.50,completed,3,2024-08-30T23:12:38.5533333
276,253,66,Fall,2024,F,0.00,completed,0,2025-11-13T23:12:38.5533333
277,57,30,Spring,2024,C+,2.70,completed,5,2025-09-11T23:12:38.5533333
278,216,80,Spring,2023,D,1.00,completed,0,2024-08-04T23:12:38.5633333
279,268,63,Fall,2024,D,1.00,completed,0,2024-12-16T23:12:38.5633333
280,295,83,Spring,2024,B,3.00,completed,5,2025-03-19T23:12:38.5633333
281,124,49,Fall,2024,D,1.00,completed,0,2025-09-27T23:12:38.5633333
282,180,58,Spring,2024,B,3.00,completed,5,2024-10-16T23:12:38.5633333
283,236,67,Fall,2023,C+,2.70,completed,4,2025-11-18T23:12:38.5666667
284,275,72,Spring,2023,A,4.00,completed,4,2024-10-08T23:12:38.5666667
285,192,34,Spring,2024,C+,2.70,completed,4,2025-03-24T23:12:38.5666667
286,106,29,Fall,2021,B+,3.50,completed,5,2025-04-01T23:12:38.5666667
287,59,26,Fall,2021,B,3.00,completed,5,2024-09-18T23:12:38.5666667
288,211,73,Fall,2021,C+,2.70,completed,3,2025-10-14T23:12:38.5700000
289,267,76,Spring,2022,D,1.00,completed,0,2025-11-29T23:12:38.5700000
290,174,42,Fall,2021,C,2.00,completed,4,2025-01-21T23:12:38.5700000
291,212,77,Spring,2023,C,2.00,completed,4,2025-10-23T23:12:38.5700000
292,163,57,Fall,2023,D,1.00,completed,0,2025-02-19T23:12:38.5700000
293,123,58,Spring,2024,F,0.00,completed,0,2024-10-27T23:12:38.5700000
294,23,5,Fall,2024,B,3.00,completed,4,2025-03-11T23:12:38.5700000
295,23,29,Spring,2023,C+,2.70,completed,5,2025-06-19T23:12:38.5733333
296,280,78,Spring,2021,C,2.00,completed,3,2025-01-25T23:12:38.5733333
297,293,77,Spring,2022,D,1.00,completed,0,2025-07-13T23:12:38.5733333
298,126,33,Spring,2024,C+,2.70,completed,4,2025-03-22T23:12:38.5733333
299,49,23,Fall,2022,B+,3.50,completed,3,2025-08-29T23:12:38.5733333
300,173,47,Fall,2022,F,0.00,completed,0,2025-04-27T23:12:38.5733333
301,271,76,Spring,2023,C+,2.70,completed,4,2025-09-15T23:12:38.5766667
302,208,59,Fall,2021,A,4.00,completed,3,2025-10-05T23:12:38.5766667
303,206,37,Spring,2021,C,2.00,completed,4,2025-05-13T23:12:38.5766667
304,155,35,Spring,2024,D,1.00,completed,0,2024-10-31T23:12:38.5766667
305,72,8,Fall,2021,D,1.00,completed,0,2025-02-15T23:12:38.5766667
306,107,7,Spring,2021,C+,2.70,completed,4,2025-06-02T23:12:38.5766667
307,153,57,Fall,2021,C+,2.70,completed,5,2025-04-21T23:12:38.5800000
308,300,80,Fall,2021,C+,2.70,completed,4,2025-08-19T23:12:38.5800000
309,293,61,Spring,2022,C+,2.70,completed,4,2025-01-07T23:12:38.5800000
310,98,16,Spring,2022,C,2.00,completed,4,2025-11-30T23:12:38.5800000
311,58,11,Spring,2023,B,3.00,completed,4,2025-05-07T23:12:38.5800000
312,299,88,Fall,2024,C,2.00,completed,5,2024-12-21T23:12:38.5800000
313,250,83,Spring,2024,D,1.00,completed,0,2025-04-24T23:12:38.5800000
314,273,66,Spring,2023,C,2.00,completed,4,2025-03-05T23:12:38.5833333
315,109,30,Fall,2022,F,0.00,completed,0,2025-09-10T23:12:38.5833333
316,52,29,Spring,2022,C,2.00,completed,5,2025-06-01T23:12:38.5833333
317,139,45,Fall,2021,C+,2.70,completed,4,2025-11-12T23:12:38.5833333
318,122,53,Fall,2023,A,4.00,completed,5,2025-04-19T23:12:38.5833333
319,265,62,Fall,2021,C+,2.70,completed,4,2025-10-10T23:12:38.5866667
320,3,21,Fall,2024,C+,2.70,completed,5,2024-10-24T23:12:38.5866667
321,111,2,Spring,2024,B+,3.50,completed,4,2025-02-11T23:12:38.5866667
322,42,30,Fall,2023,B,3.00,completed,5,2025-01-13T23:12:38.5866667
323,195,32,Spring,2024,C,2.00,completed,4,2025-09-04T23:12:38.5866667
324,213,85,Spring,2024,C+,2.70,completed,3,2024-10-03T23:12:38.5900000
325,254,80,Spring,2022,A,4.00,completed,4,2024-09-27T23:12:38.5900000
326,245,80,Spring,2022,C,2.00,completed,4,2025-06-14T23:12:38.5900000
327,43,15,Fall,2024,A,4.00,completed,4,2025-02-13T23:12:38.5900000
328,29,12,Fall,2022,A,4.00,completed,4,2025-06-29T23:12:38.5900000
329,280,84,Spring,2021,C,2.00,completed,3,2024-12-12T23:12:38.5900000
330,97,14,Fall,2023,C+,2.70,completed,3,2025-06-15T23:12:38.5900000
331,243,69,Spring,2021,D,1.00,completed,0,2024-09-26T23:12:38.5933333
332,146,36,Fall,2021,C,2.00,completed,4,2025-08-29T23:12:38.5933333
333,188,49,Fall,2021,B+,3.50,completed,4,2025-10-24T23:12:38.5933333
334,28,9,Fall,2022,C+,2.70,completed,4,2025-02-12T23:12:38.5933333
335,131,38,Spring,2022,C+,2.70,completed,4,2025-01-24T23:12:38.5933333
336,260,67,Spring,2023,B+,3.50,completed,4,2025-06-20T23:12:38.5933333
